Legislate,,"1 police brutality and alternatives to policing
2 trials: sentencing, pre-trial detention, and false convictions
3,Death in Prison Sentences,2,5,6,$,,"The U.S. is the only country in the world where kids as young as 13 have been sentenced to life imprisonment without the possibility of parole. In 2012, the Court in Miller v. Alabama struck down mandatory life-without-parole sentences for all children 17 or younger. However, it still allows for life-without-parole sentences for ""uncommon"" cases.",Investigate all cases of people serving a mandatory life-without-parole sentence for an offense when they were under 18 and ensure that each person recieves a new sentencing hearing.,https://eji.org/issues/children-in-prison/
3,MAT for Opioid Addiction,4,5,8,$$,,"Incarcerated and formerly-incarcerated individuals are at increased risk of opioid abuse and overdose and have inadequate access to treatment in most states. One exceptionally effective method for treating opioid use disorders is medication-assisted treatment (MAT), which pairs counseling with low doses of opioids that, depending on the medication used, either reduce cravings or make it impossible to get high off of opiates. MAT programs reduce post-release deaths due to overdose, improve the odds of staying in substance abuse treatment programs and reduce the chances of opioid use and recidivism during the first few months post-release.",Fund the implementation of MAT programs in jails and prisons that provide all three of the approved medication options.,https://www.prisonpolicy.org/blog/2018/12/07/opioids/
3,MAT for Opioid Addiction,4,5,8,$$,,"Incarcerated and formerly-incarcerated individuals are at increased risk of opioid abuse and overdose and have inadequate access to treatment in most states. One exceptionally effective method for treating opioid use disorders is medication-assisted treatment (MAT), which pairs counseling with low doses of opioids that, depending on the medication used, either reduce cravings or make it impossible to get high off of opiates. MAT programs reduce post-release deaths due to overdose, improve the odds of staying in substance abuse treatment programs and reduce the chances of opioid use and recidivism during the first few months post-release.",Mandate that individuals with Medicaid are automatically re-enrolled post-release to aid continuity of treatment.,https://www.prisonpolicy.org/blog/2018/12/07/opioids/
3,Voter Disenfranchisement,5,7,8,$,,"Thirty-five states that still disenfranchise nearly 4 million people with criminal records who are back in their communities. Felony disenfranchisement laws are firmly rooted in the Jim Crow era and were intended to bar minorities from voting, which they continue to succeed in doing. Allowing people to vote after release from prison strengths our democracy, encourages participation in civic life, and helps rebuild ties to the community that motivate law-abiding behavior.","Automatically restore voting rights post-incarceration, including for people released on parole or probation.",https://www.brennancenter.org/our-work/research-reports/post-incarceration-restoration-voting-rights
3,Voter Disenfranchisement,5,7,8,$,,"Thirty-five states that still disenfranchise nearly 4 million people with criminal records who are back in their communities. Felony disenfranchisement laws are firmly rooted in the Jim Crow era and were intended to bar minorities from voting, which they continue to succeed in doing. Allowing people to vote after release from prison strengths our democracy, encourages participation in civic life, and helps rebuild ties to the community that motivate law-abiding behavior.","Allow all otherwise-eligible voters to vote, regardless of justice involvemnet. ",https://www.brennancenter.org/our-work/research-reports/post-incarceration-restoration-voting-rights
,,,,,,,,,
,,,,,,, ,,
,,,,,,,,,
,,,,,,,,,
,,1,2,3,4,5,6,7,8
,,13,26,12,12,13,10,20,14
